Protein_ID,Sequence_Length,Actual_Sites,Predicted_Sites,Num_Actual_Sites,Num_Predicted_Sites,AUC,AUPR,Precision,Recall,F1
I1RPI4,528,[308],[],1,0,0.9962,0.3333,0.0000,0.0000,0.0000
P17989,349,"[79, 83]","[79, 83, 164]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
P34100,714,"[363, 457]","[363, 457]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
A0Q5Y4,318,"[157, 222, 237]","[157, 222, 237]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
O60156,284,"[206, 214, 245]","[206, 214, 245]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q0PKV7,525,"[88, 178]","[88, 178]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9P6N2,229,"[12, 14, 176]","[12, 14, 21, 58, 153, 176, 179, 180]",3,8,1.0000,1.0000,0.3750,1.0000,0.5455
P49332,221,"[14, 41, 55]","[14, 16, 41, 55]",3,4,0.9985,0.9167,0.7500,1.0000,0.8571
Q93ZC9,362,"[24, 179]","[24, 134, 168, 179]",2,4,0.9972,0.5833,0.5000,1.0000,0.6667
Q8KLM3,270,"[67, 90, 132, 163]","[67, 98]",4,2,0.9502,0.6223,0.5000,0.2500,0.3333
O14040,927,"[453, 461, 462]","[453, 461, 462]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q83F94,185,"[75, 113, 170]","[75, 113, 170]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
F1DBB3,398,"[264, 306, 335, 362]","[264, 306]",4,2,0.9930,0.6981,1.0000,0.5000,0.6667
Q8Q054,966,[635],"[79, 635]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
P78581,588,"[195, 262, 265, 269, 271, 455, 501]","[195, 455, 501]",7,3,0.9899,0.7078,1.0000,0.4286,0.6000
P74181,518,[337],[],1,0,0.9981,0.5000,0.0000,0.0000,0.0000
Q8P3J4,798,[481],"[481, 631]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
Q08961,583,[273],[273],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q9KG32,265,[47],"[47, 72]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
F4JYG0,760,"[329, 331, 352, 355]","[329, 331, 352, 355]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
D0E8I5,190,"[24, 27, 34, 58, 59, 62, 80, 104, 108, 158, 161]","[58, 59, 80, 104]",11,4,0.9939,0.9038,1.0000,0.3636,0.5333
Q4WZB3,406,"[257, 352, 380]","[188, 257, 301, 352, 380]",3,5,1.0000,1.0000,0.6000,1.0000,0.7500
Q9FJT9,956,"[85, 88, 89, 165, 172]","[85, 88, 89]",5,3,0.9809,0.8104,1.0000,0.6000,0.7500
Q70KF0,340,"[41, 63, 92, 95, 98, 106, 147]","[41, 63, 64, 92, 95, 98, 106, 147]",7,8,1.0000,1.0000,0.8750,1.0000,0.9333
Q0PBX7,247,"[25, 29, 33, 50, 52, 91, 93]","[25, 29, 33, 50, 52, 91, 93]",7,7,1.0000,1.0000,1.0000,1.0000,1.0000
S0E627,393,"[109, 112, 141, 148, 152, 157, 158, 235, 236, 275, 278, 282, 292, 302]","[109, 112, 141, 148, 152, 157, 158, 180, 235, 236, 275, 278, 282, 292, 302]",14,15,1.0000,1.0000,0.9333,1.0000,0.9655
O43980,309,"[82, 166]","[82, 141]",2,2,0.9935,0.6667,0.5000,0.5000,0.5000
Q02742,428,[320],[320],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q5QKR8,334,"[81, 85, 127, 135, 139, 167, 175, 193, 252, 255]","[125, 127, 135, 139, 312]",10,5,0.9034,0.4061,0.6000,0.3000,0.4000
P46116,281,"[150, 210]","[150, 210]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P54637,990,[650],"[650, 656]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
E7FHF1,114,"[15, 26, 28]","[15, 22, 26, 28, 64, 104]",3,6,1.0000,1.0000,0.5000,1.0000,0.6667
P40376,512,"[230, 324]","[230, 324]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P32945,549,"[301, 303, 329, 361, 362, 410, 485]","[301, 303, 329, 361, 362, 410, 485]",7,7,1.0000,1.0000,1.0000,1.0000,1.0000
P46489,453,"[88, 93, 198, 204, 211, 218, 237, 268, 293]","[148, 198, 204, 211, 237, 268, 293]",9,7,0.9002,0.7014,0.8571,0.6667,0.7500
Q9VWU1,394,"[187, 234, 339]","[187, 234, 339]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
B0WSX1,760,[389],"[121, 165, 278, 389, 431, 701]",1,6,0.9987,0.5000,0.1667,1.0000,0.2857
D4GU60,405,"[24, 201, 202]","[24, 51, 138, 201, 202, 218]",3,6,0.9983,0.8056,0.5000,1.0000,0.6667
Q8SQZ6,579,"[175, 226, 449]","[316, 327, 334]",3,3,0.9803,0.1774,0.0000,0.0000,0.0000
O53423,314,"[80, 119, 149, 244, 247]","[6, 80, 119, 149, 244, 247]",5,6,1.0000,1.0000,0.8333,1.0000,0.9091
Q9RDE9,431,"[29, 108, 153, 198, 200, 228, 276, 327, 356, 410]","[104, 105, 198, 200, 228, 230, 253, 276, 277, 300, 327]",10,11,0.9501,0.4125,0.4545,0.5000,0.4762
Q2G0P6,335,"[82, 115]",[157],2,1,0.9084,0.1169,0.0000,0.0000,0.0000
G0L322,539,"[73, 144, 147, 152, 176, 271]","[147, 152, 420]",6,3,0.7914,0.4629,0.6667,0.3333,0.4444
E9QBI7,478,"[296, 297, 300, 361]","[296, 297, 300, 361, 365, 408]",4,6,0.9995,0.9500,0.6667,1.0000,0.8000
Q4QEY9,686,"[428, 530]","[428, 466, 530]",2,3,0.9993,0.8333,0.6667,1.0000,0.8000
P0DTF7,300,"[62, 64, 130, 182, 199, 245]","[62, 64, 182]",6,3,0.9393,0.6522,1.0000,0.5000,0.6667
Q6S5G3,793,"[180, 294]",[],2,0,0.9551,0.5137,0.0000,0.0000,0.0000
O61125,461,"[49, 139]","[49, 139]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
A8GG78,444,"[356, 381, 415]",[415],3,1,0.9977,0.8333,1.0000,0.3333,0.5000
O27089,353,"[96, 186, 238]","[96, 186, 238]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q4JB16,235,"[111, 131]",[],2,0,0.9635,0.1484,0.0000,0.0000,0.0000
Q9Y898,518,"[109, 243]","[109, 243]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P11439,638,"[474, 578]",[465],2,1,0.9701,0.0761,0.0000,0.0000,0.0000
P35484,336,"[51, 115, 203, 237, 304, 312]","[42, 47, 51, 237, 313]",6,5,0.8965,0.2453,0.4000,0.3333,0.3636
Q9VWP4,573,"[144, 168, 287, 344, 383, 388]","[144, 168, 287]",6,3,0.9871,0.6682,1.0000,0.5000,0.6667
E7FHN9,334,"[229, 232, 235, 239, 306, 309, 312, 316]","[92, 135, 229, 232, 235, 239, 242, 244, 266, 294, 306, 309, 312, 316]",8,14,1.0000,1.0000,0.5714,1.0000,0.7273
Q06702,301,"[115, 116, 162, 166, 203, 263]","[115, 116, 162, 166, 203, 263]",6,6,1.0000,1.0000,1.0000,1.0000,1.0000
Q4P804,406,"[146, 148, 159]","[82, 146, 148, 156, 159]",3,5,1.0000,1.0000,0.6000,1.0000,0.7500
Q09363,356,"[208, 294]","[208, 265]",2,2,0.9873,0.5909,0.5000,0.5000,0.5000
O87876,438,"[298, 337]","[8, 298, 337, 392, 420]",2,5,1.0000,1.0000,0.4000,1.0000,0.5714
O16129,453,"[164, 285, 310]","[164, 285]",3,2,0.9015,0.6740,1.0000,0.6667,0.8000
Q54EM5,566,[510],[510],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q04195,904,"[377, 379, 400, 403]","[377, 379, 400, 403]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q12043,749,"[216, 375]","[216, 375, 426]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
B2A6B7,452,"[172, 192]",[192],2,1,1.0000,1.0000,1.0000,0.5000,0.6667
P32747,443,"[126, 146, 234, 264, 267, 306, 358, 387]","[122, 145, 264, 267, 306, 334, 358]",8,7,0.9813,0.6316,0.5714,0.5000,0.5333
Q03533,586,"[68, 180]","[68, 180]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P46843,458,"[57, 90, 163, 182, 188, 245, 265, 285, 292]","[56, 118, 124, 142, 145, 285, 379, 382]",9,8,0.9240,0.1457,0.1250,0.1111,0.1176
Q8EN08,262,"[71, 101, 135]",[101],3,1,0.7825,0.3951,1.0000,0.3333,0.5000
O81755,404,"[104, 108, 109, 112, 114, 116, 118, 204, 234, 235, 287]","[108, 204, 234, 235, 318, 321, 329]",11,7,0.9514,0.5326,0.5714,0.3636,0.4444
Q59QL0,514,[343],[343],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
P86074,35,"[7, 23]",[],2,0,0.9848,0.8333,0.0000,0.0000,0.0000
Q23498,618,"[189, 191, 278, 318, 427, 461, 463]","[189, 191, 278, 282, 318, 319, 427, 461, 463]",7,9,1.0000,1.0000,0.7778,1.0000,0.8750
K2RU68,203,[77],[77],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q9WYP4,311,"[35, 37, 46, 117, 173]","[35, 37, 46, 117, 118, 168, 173]",5,7,0.9993,0.9667,0.7143,1.0000,0.8333
Q9VM90,456,"[130, 221]","[130, 221]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P11018,319,"[50, 87, 246]","[50, 87, 246]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q9YFY8,409,"[9, 11, 50, 85, 86, 170, 199, 201]","[9, 11, 50, 85, 86, 170, 199, 201]",8,8,1.0000,1.0000,1.0000,1.0000,1.0000
Q72E85,255,"[20, 23, 26, 30, 75, 78, 83, 87, 108, 111, 114, 118, 155, 158, 188, 192]","[20, 23, 26, 30, 75, 78, 83, 87, 108, 111, 114, 118, 158, 188, 192]",16,15,1.0000,1.0000,1.0000,0.9375,0.9677
Q6DNF3,708,"[105, 439, 483]","[105, 483]",3,2,0.9986,0.8333,1.0000,0.6667,0.8000
I6Y2J4,437,"[309, 383, 413]","[309, 413]",3,2,1.0000,1.0000,1.0000,0.6667,0.8000
M2ZIX7,309,[182],"[169, 182, 186]",1,3,1.0000,1.0000,0.3333,1.0000,0.5000
P32823,820,[313],"[311, 313, 568, 619]",1,4,1.0000,1.0000,0.2500,1.0000,0.4000
Q621J7,709,"[41, 130]","[41, 130]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P22806,389,"[19, 131, 178, 351]","[131, 178, 203, 206, 360]",4,5,0.9896,0.5536,0.4000,0.5000,0.4444
B2UP57,493,"[122, 151, 214, 227, 247, 278, 279, 288, 291, 345]","[122, 214, 227, 278, 279, 288]",10,6,0.9963,0.9357,1.0000,0.6000,0.7500
Q7VQW8,357,"[9, 11, 93, 95, 101, 103, 130]","[9, 11, 54, 93, 95, 101, 103, 104, 105, 130, 178, 204, 230, 231, 234, 256, 277, 301, 324, 325, 328]",7,21,0.9727,0.2873,0.3333,1.0000,0.5000
Q21376,709,"[43, 44, 79, 308, 309]","[43, 44, 79, 217, 308]",5,5,0.9991,0.9029,0.8000,0.8000,0.8000
O07566,441,"[151, 225, 242, 274, 282, 292, 379]","[125, 222, 242, 292]",7,4,0.9631,0.4241,0.5000,0.2857,0.3636
Q54VC0,418,"[41, 139]","[41, 139]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q5BD29,555,"[392, 488]","[392, 488]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9X1G3,565,"[254, 298, 300]",[331],3,1,0.9935,0.3472,0.0000,0.0000,0.0000
Q6DRD3,336,"[71, 100, 102, 105, 189, 191, 257]","[189, 191]",7,2,0.8641,0.4453,1.0000,0.2857,0.4444
P76190,271,"[169, 224, 236]","[169, 224]",3,2,1.0000,1.0000,1.0000,0.6667,0.8000
A1A6H3,379,"[210, 255, 319, 321, 325, 355, 358, 360, 364]","[80, 255, 321, 325, 358]",9,5,0.9946,0.7840,0.8000,0.4444,0.5714
B0TFA7,385,"[34, 102, 126, 200]","[102, 200]",4,2,0.8747,0.5223,1.0000,0.5000,0.6667
Q9ZHY3,362,"[13, 30, 41, 52, 262]",[262],5,1,0.9894,0.6581,1.0000,0.2000,0.3333
A0A3G5BB24,163,[83],[],1,0,0.9074,0.0625,0.0000,0.0000,0.0000
Q0V9R3,834,"[354, 362, 363]","[354, 363]",3,2,0.9984,0.8095,1.0000,0.6667,0.8000
P39671,542,"[17, 21, 112, 125, 276, 278, 280, 343, 375, 495]","[112, 276, 278, 280, 362, 363]",10,6,0.9912,0.7088,0.6667,0.4000,0.5000
Q9X0L3,217,"[11, 77, 139, 183]","[11, 77, 139, 160, 183]",4,5,0.9965,0.8042,0.8000,1.0000,0.8889
P36163,345,"[203, 204, 207, 257]","[172, 203, 204, 207, 306]",4,5,0.9963,0.8611,0.6000,0.7500,0.6667
Q60314,378,"[8, 11, 15, 43]","[8, 11, 15, 43]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q4U3Y2,549,[110],"[142, 245, 305]",1,3,0.5712,0.0042,0.0000,0.0000,0.0000
A3CTK0,187,"[117, 127, 146, 159, 166, 170]","[33, 100]",6,2,0.9503,0.3261,0.0000,0.0000,0.0000
Q5QHG6,495,"[259, 271, 303, 304, 332, 429, 430]","[259, 271, 303, 304, 332, 387, 429, 430]",7,8,0.9997,0.9821,0.8750,1.0000,0.9333
Q54IP4,653,"[201, 298]","[15, 201, 298]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
Q57688,417,[41],[41],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q9R5V5,157,[98],"[72, 98]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
Q04049,632,"[30, 155]","[30, 155]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9I4U2,847,[265],"[265, 287, 337]",1,3,1.0000,1.0000,0.3333,1.0000,0.5000
Q9S713,562,"[167, 279]","[167, 279]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q2UPC5,306,[237],[237],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q22036,648,"[83, 252, 290]","[83, 252]",3,2,1.0000,1.0000,1.0000,0.6667,0.8000
O80831,691,"[289, 329, 337, 422, 530, 535, 618, 654]",[329],8,1,0.8995,0.3976,1.0000,0.1250,0.2222
Q8PU60,177,"[85, 88, 91, 95, 125, 128, 131, 135]","[85, 88, 91, 95, 125, 128, 131, 135]",8,8,1.0000,1.0000,1.0000,1.0000,1.0000
P72173,398,"[36, 132, 185, 376]","[36, 67, 132, 185, 216, 256, 376]",4,7,0.9962,0.6917,0.5714,1.0000,0.7273
Q93Z04,501,"[217, 241, 245, 297]","[217, 241, 245, 297]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q75SP7,274,"[40, 108, 140]","[40, 108, 140]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q9XG80,138,"[48, 50, 53, 72, 73]",[69],5,1,0.9233,0.4605,0.0000,0.0000,0.0000
B5GRC8,343,"[114, 119, 206, 252, 256, 260]","[114, 115, 119, 206, 252, 256, 260]",6,7,0.9990,0.9484,0.8571,1.0000,0.9231
Q9AAA6,168,"[115, 141]","[115, 141]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P71011,448,"[129, 133, 136, 408, 414, 417]","[129, 133, 136, 344, 362, 403, 408, 414, 417, 433]",6,10,0.9989,0.9151,0.6000,1.0000,0.7500
Q17426,577,[188],[188],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
F0X8C8,408,"[190, 209, 248, 275, 357]","[190, 209, 247, 357]",5,4,0.9916,0.7198,0.7500,0.6000,0.6667
P27035,459,"[286, 378]","[286, 378]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P40601,645,"[34, 327, 330]","[34, 241, 330]",3,3,0.9990,0.8667,0.6667,0.6667,0.6667
I1BYM7,385,"[210, 233]","[210, 233]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P21637,459,"[338, 344, 377, 381]","[27, 338, 344, 377, 381]",4,5,1.0000,1.0000,0.8000,1.0000,0.8889
P32586,711,[630],[630],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q8MYY6,558,"[150, 186, 209, 210, 211, 312, 340, 343, 346]","[150, 186, 209, 210, 211, 312, 340, 343, 348]",9,9,0.9984,0.9390,0.8889,0.8889,0.8889
Q86TM3,631,"[244, 249, 311]",[376],3,1,0.7176,0.0247,0.0000,0.0000,0.0000
Q92111,524,[457],[457],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q8TZH9,254,"[68, 84, 86, 87, 171, 176, 195, 202]","[68, 69, 84, 86, 171, 202]",8,6,0.9914,0.8562,0.8333,0.6250,0.7143
Q55A00,406,"[136, 190, 194]","[136, 190]",3,2,1.0000,1.0000,1.0000,0.6667,0.8000
Q8H215,68,"[18, 19, 48]",[48],3,1,0.9795,0.8095,1.0000,0.3333,0.5000
Q02863,499,"[62, 407]","[62, 407]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
O45797,908,"[531, 625]","[531, 625]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9VUY0,698,"[232, 265, 266, 347, 425, 427, 500]","[265, 266, 347, 425, 427]",7,5,0.9977,0.8691,1.0000,0.7143,0.8333
P23382,687,"[266, 267, 270]","[196, 266, 267, 270, 276, 423, 482]",3,7,0.9981,0.8095,0.4286,1.0000,0.6000
B2AM55,430,"[301, 311, 399]",[399],3,1,0.9625,0.5756,1.0000,0.3333,0.5000
P74297,574,"[65, 163]","[65, 163]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
B6H6L7,399,"[57, 60, 170]","[57, 60, 170]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
F1SY74,613,[526],[526],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q0WSX8,255,[83],[],1,0,1.0000,1.0000,0.0000,0.0000,0.0000
Q86JJ0,312,"[85, 133, 138, 183]","[107, 133, 161, 183, 299]",4,5,0.9943,0.7500,0.4000,0.5000,0.4444
Q67SW0,517,"[14, 64, 125, 187, 193, 334, 401, 405, 442, 443, 461]","[14, 125, 401, 405, 426, 427, 442, 443, 461]",11,9,0.9964,0.8401,0.7778,0.6364,0.7000
Q4FS72,431,"[173, 205, 256, 320, 346]","[173, 205, 256, 320, 346]",5,5,1.0000,1.0000,1.0000,1.0000,1.0000
P43337,192,"[83, 87]","[83, 87]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9XTD6,384,"[164, 165, 168, 174]","[164, 165, 168, 174]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q9VQN8,523,[253],[34],1,1,0.7720,0.0083,0.0000,0.0000,0.0000
O06335,552,"[48, 445]","[48, 445, 472]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
P9WNE5,181,"[22, 55, 58, 99, 132]","[22, 55, 58, 99, 132]",5,5,1.0000,1.0000,1.0000,1.0000,1.0000
O32183,127,[2],[2],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
P75430,164,"[50, 55, 124, 125, 153, 154]",[154],6,1,0.8544,0.3421,1.0000,0.1667,0.2857
Q84BQ9,254,"[107, 128, 149, 175, 191]","[107, 149]",5,2,0.9847,0.8417,1.0000,0.4000,0.5714
Q9L9E9,288,"[103, 127, 131]","[103, 104, 127, 131, 153, 184]",3,6,0.9965,0.7556,0.5000,1.0000,0.6667
Q9LUS8,493,"[180, 181, 408, 471]","[180, 181, 408, 471]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q04751,285,"[116, 185, 186, 228, 233]","[116, 183, 185, 186, 228, 233, 250]",5,7,1.0000,1.0000,0.7143,1.0000,0.8333
Q8ZZP3,131,"[6, 100, 118]","[6, 99, 100, 118]",3,4,1.0000,1.0000,0.7500,1.0000,0.8571
Q6B9Y8,889,"[125, 128, 143, 148, 225, 237, 239, 286, 387, 419, 423]","[225, 237, 239, 286, 387, 419, 423]",11,7,1.0000,1.0000,1.0000,0.6364,0.7778
