Protein_ID,Sequence_Length,Num_True_Catalytic_Residues,True_Catalytic_Sites,Predicted_Catalytic_Sites
I1RPI4,528,1,[308],"[154, 248]"
P17989,349,2,"[79, 83]",[83]
P34100,714,2,"[363, 457]","[372, 457, 459, 461, 462, 494]"
A0Q5Y4,318,3,"[157, 222, 237]","[237, 240]"
O60156,284,3,"[206, 214, 245]","[206, 214, 245]"
Q0PKV7,525,2,"[88, 178]","[178, 217]"
Q9P6N2,229,3,"[12, 14, 176]","[12, 14, 153, 177, 180]"
P49332,221,3,"[14, 41, 55]","[14, 19, 68, 105, 152]"
Q93ZC9,362,2,"[24, 179]","[33, 179, 228]"
Q8KLM3,270,4,"[67, 90, 132, 163]",[12]
O14040,927,3,"[453, 461, 462]","[459, 762, 770]"
Q83F94,185,3,"[75, 113, 170]",[170]
F1DBB3,398,4,"[264, 306, 335, 362]",[306]
Q8Q054,966,1,[635],"[51, 632, 635]"
P78581,588,7,"[195, 262, 265, 269, 271, 455, 501]","[195, 455, 501, 502]"
P74181,518,1,[337],"[94, 253, 355, 377, 379]"
Q8P3J4,798,1,[481],"[108, 349, 362, 631, 632, 638]"
Q08961,583,1,[273],[273]
Q9KG32,265,1,[47],"[20, 72, 149, 194, 204, 205, 208, 232]"
F4JYG0,760,4,"[329, 331, 352, 355]",[]
D0E8I5,190,11,"[24, 27, 34, 58, 59, 62, 80, 104, 108, 158, 161]","[58, 59, 62, 80, 104, 108, 133, 161]"
Q4WZB3,406,3,"[257, 352, 380]","[187, 257, 258, 352, 380]"
Q9FJT9,956,5,"[85, 88, 89, 165, 172]","[89, 172, 750, 767]"
Q70KF0,340,7,"[41, 63, 92, 95, 98, 106, 147]","[43, 63, 106]"
Q0PBX7,247,7,"[25, 29, 33, 50, 52, 91, 93]","[23, 29, 33, 50, 121, 146, 176, 235, 237]"
S0E627,393,14,"[109, 112, 141, 148, 152, 157, 158, 235, 236, 275, 278, 282, 292, 302]","[109, 112, 148, 152, 157, 235, 274, 278, 292]"
