Protein_ID,Actual_Sites,DualEvo_Predicted,DualEvo_Precision,DualEvo_Recall,DualEvo_F1,SCREEN_Predicted,SCREEN_Precision,SCREEN_Recall,SCREEN_F1,Squidly_Predicted,Squidly_Precision,Squidly_Recall,Squidly_F1
P34100,"[363, 457]","[363, 457]",1.0,1.0,1.0,"[372, 457, 459, 461, 462, 494]",0.1666666666666666,0.5,0.25,[457],1.0,0.5,0.6666666666666666
A0Q5Y4,"[157, 222, 237]","[157, 222, 237]",1.0,1.0,1.0,"[237, 240]",0.5,0.3333333333333333,0.4,[],0.0,0.0,0.0
P49332,"[14, 41, 55]","[14, 16, 41, 55]",0.75,1.0,0.8571428571428571,"[14, 19, 68, 105, 152]",0.2,0.3333333333333333,0.25,[],0.0,0.0,0.0
Q83F94,"[75, 113, 170]","[75, 113, 170]",1.0,1.0,1.0,[170],1.0,0.3333333333333333,0.5,[],0.0,0.0,0.0
Q8P3J4,[481],"[481, 631]",0.5,1.0,0.6666666666666666,"[108, 349, 362, 631, 632, 638]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q08961,[273],[273],1.0,1.0,1.0,[273],1.0,1.0,1.0,[],0.0,0.0,0.0
Q9KG32,[47],"[47, 72]",0.5,1.0,0.6666666666666666,"[20, 72, 149, 194, 204, 205, 208, 232]",0.0,0.0,0.0,[72],0.0,0.0,0.0
Q4WZB3,"[257, 352, 380]","[188, 257, 301, 352, 380]",0.6,1.0,0.7499999999999999,"[187, 257, 258, 352, 380]",0.6,1.0,0.7499999999999999,"[352, 380]",1.0,0.6666666666666666,0.8
Q70KF0,"[41, 63, 92, 95, 98, 106, 147]","[41, 63, 64, 92, 95, 98, 106, 147]",0.875,1.0,0.9333333333333332,"[43, 63, 106]",0.6666666666666666,0.2857142857142857,0.4,[],0.0,0.0,0.0
Q0PBX7,"[25, 29, 33, 50, 52, 91, 93]","[25, 29, 33, 50, 52, 91, 93]",1.0,1.0,1.0,"[23, 29, 33, 50, 121, 146, 176, 235, 237]",0.3333333333333333,0.4285714285714285,0.375,[],0.0,0.0,0.0
S0E627,"[109, 112, 141, 148, 152, 157, 158, 235, 236, 275, 278, 282, 292, 302]","[109, 112, 141, 148, 152, 157, 158, 180, 235, 236, 275, 278, 282, 292, 302]",0.9333333333333332,1.0,0.9655172413793104,"[109, 112, 148, 152, 157, 235, 274, 278, 292]",0.8888888888888888,0.5714285714285714,0.6956521739130435,[],0.0,0.0,0.0
P54637,[650],"[650, 656]",0.5,1.0,0.6666666666666666,"[550, 613, 650, 656, 657]",0.2,1.0,0.3333333333333333,[650],1.0,1.0,1.0
E7FHF1,"[15, 26, 28]","[15, 22, 26, 28, 64, 104]",0.5,1.0,0.6666666666666666,"[15, 64, 104]",0.3333333333333333,0.3333333333333333,0.3333333333333333,[104],0.0,0.0,0.0
P40376,"[230, 324]","[230, 324]",1.0,1.0,1.0,"[324, 326, 329, 360]",0.25,0.5,0.3333333333333333,[324],1.0,0.5,0.6666666666666666
P32945,"[301, 303, 329, 361, 362, 410, 485]","[301, 303, 329, 361, 362, 410, 485]",1.0,1.0,1.0,"[301, 303, 329, 332, 333, 361, 362, 410, 445, 458, 485]",0.6363636363636364,1.0,0.7777777777777778,"[362, 485]",1.0,0.2857142857142857,0.4444444444444445
P46489,"[88, 93, 198, 204, 211, 218, 237, 268, 293]","[148, 198, 204, 211, 237, 268, 293]",0.8571428571428571,0.6666666666666666,0.75,"[265, 293]",0.5,0.1111111111111111,0.1818181818181818,[293],1.0,0.1111111111111111,0.1999999999999999
B0WSX1,[389],"[121, 165, 278, 389, 431, 701]",0.1666666666666666,1.0,0.2857142857142857,"[121, 197, 223, 389, 415, 489, 700]",0.1428571428571428,1.0,0.25,[220],0.0,0.0,0.0
Q9RDE9,"[29, 108, 153, 198, 200, 228, 276, 327, 356, 410]","[104, 105, 198, 200, 228, 230, 253, 276, 277, 300, 327]",0.4545454545454545,0.5,0.4761904761904761,"[198, 200, 228, 253, 276, 277, 300, 327, 329]",0.5555555555555556,0.5,0.5263157894736842,"[200, 327]",1.0,0.2,0.3333333333333333
Q4QEY9,"[428, 530]","[428, 466, 530]",0.6666666666666666,1.0,0.8,[336],0.0,0.0,0.0,[],0.0,0.0,0.0
O61125,"[49, 139]","[49, 139]",1.0,1.0,1.0,"[137, 139, 141, 144]",0.25,0.5,0.3333333333333333,[139],1.0,0.5,0.6666666666666666
O87876,"[298, 337]","[8, 298, 337, 392, 420]",0.4,1.0,0.5714285714285715,"[252, 298, 337]",0.6666666666666666,1.0,0.8,[],0.0,0.0,0.0
Q54EM5,[510],[510],1.0,1.0,1.0,"[297, 510]",0.5,1.0,0.6666666666666666,[],0.0,0.0,0.0
Q12043,"[216, 375]","[216, 375, 426]",0.6666666666666666,1.0,0.8,[216],1.0,0.5,0.6666666666666666,[],0.0,0.0,0.0
P32747,"[126, 146, 234, 264, 267, 306, 358, 387]","[122, 145, 264, 267, 306, 334, 358]",0.5714285714285714,0.5,0.5333333333333333,"[38, 171, 175, 267, 269, 306, 335]",0.2857142857142857,0.25,0.2666666666666666,[267],1.0,0.125,0.2222222222222222
Q03533,"[68, 180]","[68, 180]",1.0,1.0,1.0,"[180, 182, 184, 241]",0.25,0.5,0.3333333333333333,[180],1.0,0.5,0.6666666666666666
O81755,"[104, 108, 109, 112, 114, 116, 118, 204, 234, 235, 287]","[108, 204, 234, 235, 318, 321, 329]",0.5714285714285714,0.3636363636363636,0.4444444444444444,"[104, 108, 234, 346]",0.75,0.2727272727272727,0.3999999999999999,[108],1.0,0.0909090909090909,0.1666666666666666
Q59QL0,[343],[343],1.0,1.0,1.0,[420],0.0,0.0,0.0,[343],1.0,1.0,1.0
M2ZIX7,[182],"[169, 182, 186]",0.3333333333333333,1.0,0.5,"[169, 170, 182, 186]",0.25,1.0,0.4,[182],1.0,1.0,1.0
P32823,[313],"[311, 313, 568, 619]",0.25,1.0,0.4,"[309, 311, 313, 389, 459]",0.2,1.0,0.3333333333333333,[313],1.0,1.0,1.0
Q7VQW8,"[9, 11, 93, 95, 101, 103, 130]","[9, 11, 54, 93, 95, 101, 103, 104, 105, 130, 178, 204, 230, 231, 234, 256, 277, 301, 324, 325, 328]",0.3333333333333333,1.0,0.5,"[9, 11, 105, 130, 134, 230, 231, 235, 325, 328]",0.3,0.4285714285714285,0.3529411764705882,"[9, 11]",1.0,0.2857142857142857,0.4444444444444445
O07566,"[151, 225, 242, 274, 282, 292, 379]","[125, 222, 242, 292]",0.5,0.2857142857142857,0.3636363636363636,"[151, 222, 225, 242, 244, 247]",0.5,0.4285714285714285,0.4615384615384615,[],0.0,0.0,0.0
A1A6H3,"[210, 255, 319, 321, 325, 355, 358, 360, 364]","[80, 255, 321, 325, 358]",0.8,0.4444444444444444,0.5714285714285714,"[210, 233, 322, 323, 324, 325]",0.3333333333333333,0.2222222222222222,0.2666666666666666,[325],1.0,0.1111111111111111,0.1999999999999999
Q9ZHY3,"[13, 30, 41, 52, 262]",[262],1.0,0.2,0.3333333333333333,"[13, 262]",1.0,0.4,0.5714285714285715,[],0.0,0.0,0.0
P39671,"[17, 21, 112, 125, 276, 278, 280, 343, 375, 495]","[112, 276, 278, 280, 362, 363]",0.6666666666666666,0.4,0.5,"[17, 110, 112, 113, 125, 248, 278, 280, 281, 346, 374]",0.4545454545454545,0.5,0.4761904761904761,[112],1.0,0.1,0.1818181818181818
Q9X0L3,"[11, 77, 139, 183]","[11, 77, 139, 160, 183]",0.8,1.0,0.888888888888889,"[8, 183]",0.5,0.25,0.3333333333333333,[183],1.0,0.25,0.4
