Protein_ID,Actual_Sites,DualEvo_Predicted,DualEvo_Precision,DualEvo_Recall,DualEvo_F1,SCREEN_Predicted,SCREEN_Precision,SCREEN_Recall,SCREEN_F1,Squidly_Predicted,Squidly_Precision,Squidly_Recall,Squidly_F1
I1RPI4,[308],[],0.0,0.0,0.0,"[154, 248]",0.0,0.0,0.0,[308],1.0,1.0,1.0
P17989,"[79, 83]","[79, 83, 164]",0.6666666666666666,1.0,0.8,[83],1.0,0.5,0.6666666666666666,"[79, 83]",1.0,1.0,1.0
P34100,"[363, 457]","[363, 457]",1.0,1.0,1.0,"[372, 457, 459, 461, 462, 494]",0.16666666666666666,0.5,0.25,[457],1.0,0.5,0.6666666666666666
A0Q5Y4,"[157, 222, 237]","[157, 222, 237]",1.0,1.0,1.0,"[237, 240]",0.5,0.3333333333333333,0.4,[],0.0,0.0,0.0
O60156,"[206, 214, 245]","[206, 214, 245]",1.0,1.0,1.0,"[206, 214, 245]",1.0,1.0,1.0,"[206, 214, 245]",1.0,1.0,1.0
Q0PKV7,"[88, 178]","[88, 178]",1.0,1.0,1.0,"[178, 217]",0.5,0.5,0.5,[178],1.0,0.5,0.6666666666666666
Q9P6N2,"[12, 14, 176]","[12, 14, 21, 58, 153, 176, 179, 180]",0.375,1.0,0.5454545454545454,"[12, 14, 153, 177, 180]",0.4,0.6666666666666666,0.5,"[12, 14]",1.0,0.6666666666666666,0.8
P49332,"[14, 41, 55]","[14, 16, 41, 55]",0.75,1.0,0.8571428571428571,"[14, 19, 68, 105, 152]",0.2,0.3333333333333333,0.25,[],0.0,0.0,0.0
Q93ZC9,"[24, 179]","[24, 134, 168, 179]",0.5,1.0,0.6666666666666666,"[33, 179, 228]",0.3333333333333333,0.5,0.4,[179],1.0,0.5,0.6666666666666666
Q8KLM3,"[67, 90, 132, 163]","[67, 98]",0.5,0.25,0.3333333333333333,[12],0.0,0.0,0.0,[67],1.0,0.25,0.4
O14040,"[453, 461, 462]","[453, 461, 462]",1.0,1.0,1.0,"[459, 762, 770]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q83F94,"[75, 113, 170]","[75, 113, 170]",1.0,1.0,1.0,[170],1.0,0.3333333333333333,0.5,[],0.0,0.0,0.0
F1DBB3,"[264, 306, 335, 362]","[264, 306]",1.0,0.5,0.6666666666666666,[306],1.0,0.25,0.4,[306],1.0,0.25,0.4
Q8Q054,[635],"[79, 635]",0.5,1.0,0.6666666666666666,"[51, 632, 635]",0.3333333333333333,1.0,0.5,[],0.0,0.0,0.0
P78581,"[195, 262, 265, 269, 271, 455, 501]","[195, 455, 501]",1.0,0.42857142857142855,0.6,"[195, 455, 501, 502]",0.75,0.42857142857142855,0.5454545454545454,"[195, 501]",1.0,0.2857142857142857,0.4444444444444445
P74181,[337],[],0.0,0.0,0.0,"[94, 253, 355, 377, 379]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q8P3J4,[481],"[481, 631]",0.5,1.0,0.6666666666666666,"[108, 349, 362, 631, 632, 638]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q08961,[273],[273],1.0,1.0,1.0,[273],1.0,1.0,1.0,[],0.0,0.0,0.0
