Protein_ID,Actual_Sites,DualEvo_Predicted,DualEvo_Precision,DualEvo_Recall,DualEvo_F1,SCREEN_Predicted,SCREEN_Precision,SCREEN_Recall,SCREEN_F1,Squidly_Predicted,Squidly_Precision,Squidly_Recall,Squidly_F1
P17989,"[79, 83]","[79, 83, 164]",0.6666666666666666,1.0,0.8,[83],1.0,0.5,0.6666666666666666,"[79, 83]",1.0,1.0,1.0
Q8KLM3,"[67, 90, 132, 163]","[67, 98]",0.5,0.25,0.3333333333333333,[12],0.0,0.0,0.0,[67],1.0,0.25,0.4
P74181,[337],[],0.0,0.0,0.0,"[94, 253, 355, 377, 379]",0.0,0.0,0.0,[],0.0,0.0,0.0
D0E8I5,"[24, 27, 34, 58, 59, 62, 80, 104, 108, 158, 161]","[58, 59, 80, 104]",1.0,0.3636363636363636,0.5333333333333333,"[58, 59, 62, 80, 104, 108, 133, 161]",0.875,0.6363636363636364,0.7368421052631579,[],0.0,0.0,0.0
Q9FJT9,"[85, 88, 89, 165, 172]","[85, 88, 89]",1.0,0.6,0.7499999999999999,"[89, 172, 750, 767]",0.5,0.4,0.4444444444444445,"[88, 165]",1.0,0.4,0.5714285714285715
Q02742,[320],[320],1.0,1.0,1.0,"[246, 254, 320]",0.3333333333333333,1.0,0.5,[320],1.0,1.0,1.0
D4GU60,"[24, 201, 202]","[24, 51, 138, 201, 202, 218]",0.5,1.0,0.6666666666666666,"[24, 138, 201, 202, 204, 218]",0.5,1.0,0.6666666666666666,[],0.0,0.0,0.0
Q8SQZ6,"[175, 226, 449]","[316, 327, 334]",0.0,0.0,0.0,"[34, 98, 205, 207, 218, 298, 334, 338, 444, 449]",0.1,0.3333333333333333,0.1538461538461538,[],0.0,0.0,0.0
Q2G0P6,"[82, 115]",[157],0.0,0.0,0.0,"[111, 166, 197]",0.0,0.0,0.0,[],0.0,0.0,0.0
E9QBI7,"[296, 297, 300, 361]","[296, 297, 300, 361, 365, 408]",0.6666666666666666,1.0,0.8,"[296, 297, 300, 305, 361, 365, 408]",0.5714285714285714,1.0,0.7272727272727273,"[297, 408]",0.5,0.25,0.3333333333333333
P0DTF7,"[62, 64, 130, 182, 199, 245]","[62, 64, 182]",1.0,0.5,0.6666666666666666,[182],1.0,0.1666666666666666,0.2857142857142857,[130],1.0,0.1666666666666666,0.2857142857142857
A8GG78,"[356, 381, 415]",[415],1.0,0.3333333333333333,0.5,"[381, 415]",1.0,0.6666666666666666,0.8,"[381, 415]",1.0,0.6666666666666666,0.8
Q4JB16,"[111, 131]",[],0.0,0.0,0.0,"[21, 113]",0.0,0.0,0.0,[],0.0,0.0,0.0
P11439,"[474, 578]",[465],0.0,0.0,0.0,"[291, 495, 506, 553, 578]",0.2,0.5,0.2857142857142857,[],0.0,0.0,0.0
