Protein_ID,Actual_Sites,DualEvo_Predicted,DualEvo_Precision,DualEvo_Recall,DualEvo_F1,SCREEN_Predicted,SCREEN_Precision,SCREEN_Recall,SCREEN_F1,Squidly_Predicted,Squidly_Precision,Squidly_Recall,Squidly_F1
I1RPI4,[308],[],0.0,0.0,0.0,"[154, 248]",0.0,0.0,0.0,[308],1.0,1.0,1.0
O60156,"[206, 214, 245]","[206, 214, 245]",1.0,1.0,1.0,"[206, 214, 245]",1.0,1.0,1.0,"[206, 214, 245]",1.0,1.0,1.0
Q0PKV7,"[88, 178]","[88, 178]",1.0,1.0,1.0,"[178, 217]",0.5,0.5,0.5,[178],1.0,0.5,0.6666666666666666
Q9P6N2,"[12, 14, 176]","[12, 14, 21, 58, 153, 176, 179, 180]",0.375,1.0,0.5454545454545454,"[12, 14, 153, 177, 180]",0.4,0.6666666666666666,0.5,"[12, 14]",1.0,0.6666666666666666,0.8
Q93ZC9,"[24, 179]","[24, 134, 168, 179]",0.5,1.0,0.6666666666666666,"[33, 179, 228]",0.3333333333333333,0.5,0.4,[179],1.0,0.5,0.6666666666666666
O14040,"[453, 461, 462]","[453, 461, 462]",1.0,1.0,1.0,"[459, 762, 770]",0.0,0.0,0.0,[],0.0,0.0,0.0
F1DBB3,"[264, 306, 335, 362]","[264, 306]",1.0,0.5,0.6666666666666666,[306],1.0,0.25,0.4,[306],1.0,0.25,0.4
Q8Q054,[635],"[79, 635]",0.5,1.0,0.6666666666666666,"[51, 632, 635]",0.3333333333333333,1.0,0.5,[],0.0,0.0,0.0
P78581,"[195, 262, 265, 269, 271, 455, 501]","[195, 455, 501]",1.0,0.4285714285714285,0.6,"[195, 455, 501, 502]",0.75,0.4285714285714285,0.5454545454545454,"[195, 501]",1.0,0.2857142857142857,0.4444444444444445
F4JYG0,"[329, 331, 352, 355]","[329, 331, 352, 355]",1.0,1.0,1.0,[],0.0,0.0,0.0,[],0.0,0.0,0.0
O43980,"[82, 166]","[82, 141]",0.5,0.5,0.5,"[81, 82, 141, 166, 265, 266]",0.3333333333333333,1.0,0.5,"[82, 166, 265]",0.6666666666666666,1.0,0.8
Q5QKR8,"[81, 85, 127, 135, 139, 167, 175, 193, 252, 255]","[125, 127, 135, 139, 312]",0.6,0.3,0.4,"[127, 135, 139, 164, 167]",0.8,0.4,0.5333333333333333,[127],1.0,0.1,0.1818181818181818
P46116,"[150, 210]","[150, 210]",1.0,1.0,1.0,"[78, 83, 87, 148, 150, 205, 210]",0.2857142857142857,1.0,0.4444444444444445,"[148, 150, 210]",0.6666666666666666,1.0,0.8
Q9VWU1,"[187, 234, 339]","[187, 234, 339]",1.0,1.0,1.0,"[187, 234, 337, 339]",0.75,1.0,0.8571428571428571,"[187, 234, 339]",1.0,1.0,1.0
O53423,"[80, 119, 149, 244, 247]","[6, 80, 119, 149, 244, 247]",0.8333333333333334,1.0,0.9090909090909092,"[80, 149, 244, 247]",1.0,0.8,0.888888888888889,"[80, 247]",1.0,0.4,0.5714285714285715
G0L322,"[73, 144, 147, 152, 176, 271]","[147, 152, 420]",0.6666666666666666,0.3333333333333333,0.4444444444444444,"[147, 149, 151, 152]",0.5,0.3333333333333333,0.4,"[147, 152]",1.0,0.3333333333333333,0.5
Q6S5G3,"[180, 294]",[],0.0,0.0,0.0,[739],0.0,0.0,0.0,[],0.0,0.0,0.0
O27089,"[96, 186, 238]","[96, 186, 238]",1.0,1.0,1.0,"[238, 240]",0.5,0.3333333333333333,0.4,[],0.0,0.0,0.0
Q9Y898,"[109, 243]","[109, 243]",1.0,1.0,1.0,"[109, 243, 245, 282]",0.5,1.0,0.6666666666666666,[243],1.0,0.5,0.6666666666666666
Q9VWP4,"[144, 168, 287, 344, 383, 388]","[144, 168, 287]",1.0,0.5,0.6666666666666666,"[144, 168, 242, 287, 422]",0.6,0.5,0.5454545454545454,[],0.0,0.0,0.0
Q06702,"[115, 116, 162, 166, 203, 263]","[115, 116, 162, 166, 203, 263]",1.0,1.0,1.0,"[115, 162, 166, 200, 227, 230, 263]",0.5714285714285714,0.6666666666666666,0.6153846153846153,"[115, 263]",1.0,0.3333333333333333,0.5
Q4P804,"[146, 148, 159]","[82, 146, 148, 156, 159]",0.6,1.0,0.7499999999999999,"[82, 146, 148, 159]",0.75,1.0,0.8571428571428571,[],0.0,0.0,0.0
Q09363,"[208, 294]","[208, 265]",0.5,0.5,0.5,[294],1.0,0.5,0.6666666666666666,[],0.0,0.0,0.0
B2A6B7,"[172, 192]",[192],1.0,0.5,0.6666666666666666,"[23, 59, 283, 285]",0.0,0.0,0.0,[],0.0,0.0,0.0
P46843,"[57, 90, 163, 182, 188, 245, 265, 285, 292]","[56, 118, 124, 142, 145, 285, 379, 382]",0.125,0.1111111111111111,0.1176470588235294,"[52, 142, 145, 379, 382]",0.0,0.0,0.0,"[379, 382]",0.0,0.0,0.0
Q23498,"[189, 191, 278, 318, 427, 461, 463]","[189, 191, 278, 282, 318, 319, 427, 461, 463]",0.7777777777777778,1.0,0.8750000000000001,"[191, 278, 318, 319, 427, 461, 463]",0.8571428571428571,0.8571428571428571,0.8571428571428571,[319],0.0,0.0,0.0
Q9WYP4,"[35, 37, 46, 117, 173]","[35, 37, 46, 117, 118, 168, 173]",0.7142857142857143,1.0,0.8333333333333333,"[117, 118, 168, 227]",0.25,0.2,0.2222222222222222,[],0.0,0.0,0.0
Q9VM90,"[130, 221]","[130, 221]",1.0,1.0,1.0,"[221, 223, 225, 262]",0.25,0.5,0.3333333333333333,[221],1.0,0.5,0.6666666666666666
Q9YFY8,"[9, 11, 50, 85, 86, 170, 199, 201]","[9, 11, 50, 85, 86, 170, 199, 201]",1.0,1.0,1.0,"[9, 50, 86, 87, 170, 201]",0.8333333333333334,0.625,0.7142857142857143,"[86, 170]",1.0,0.25,0.4
I6Y2J4,"[309, 383, 413]","[309, 413]",1.0,0.6666666666666666,0.8,"[309, 383, 413]",1.0,1.0,1.0,"[309, 383, 413]",1.0,1.0,1.0
Q621J7,"[41, 130]","[41, 130]",1.0,1.0,1.0,[130],1.0,0.5,0.6666666666666666,[130],1.0,0.5,0.6666666666666666
P22806,"[19, 131, 178, 351]","[131, 178, 203, 206, 360]",0.4,0.5,0.4444444444444445,"[45, 174, 178, 203, 206, 237, 348]",0.1428571428571428,0.25,0.1818181818181818,[237],0.0,0.0,0.0
B2UP57,"[122, 151, 214, 227, 247, 278, 279, 288, 291, 345]","[122, 214, 227, 278, 279, 288]",1.0,0.6,0.7499999999999999,"[214, 278, 279, 288, 328, 375]",0.6666666666666666,0.4,0.5,"[151, 214, 279]",1.0,0.3,0.4615384615384615
Q54VC0,"[41, 139]","[41, 139]",1.0,1.0,1.0,[139],1.0,0.5,0.6666666666666666,[139],1.0,0.5,0.6666666666666666
Q0V9R3,"[354, 362, 363]","[354, 363]",1.0,0.6666666666666666,0.8,"[360, 465, 581, 675, 679]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q4U3Y2,[110],"[142, 245, 305]",0.0,0.0,0.0,[191],0.0,0.0,0.0,[],0.0,0.0,0.0
Q5QHG6,"[259, 271, 303, 304, 332, 429, 430]","[259, 271, 303, 304, 332, 387, 429, 430]",0.875,1.0,0.9333333333333332,"[259, 261, 271, 303, 304, 332, 385, 387, 429, 430, 434]",0.6363636363636364,1.0,0.7777777777777778,[303],1.0,0.1428571428571428,0.25
Q54IP4,"[201, 298]","[15, 201, 298]",0.6666666666666666,1.0,0.8,"[296, 298, 337]",0.3333333333333333,0.5,0.4,[298],1.0,0.5,0.6666666666666666
Q57688,[41],[41],1.0,1.0,1.0,"[20, 310]",0.0,0.0,0.0,[],0.0,0.0,0.0
Q9S713,"[167, 279]","[167, 279]",1.0,1.0,1.0,"[167, 279, 281, 319]",0.5,1.0,0.6666666666666666,[279],1.0,0.5,0.6666666666666666
P72173,"[36, 132, 185, 376]","[36, 67, 132, 185, 216, 256, 376]",0.5714285714285714,1.0,0.7272727272727273,"[132, 213, 215, 248, 256]",0.2,0.25,0.2222222222222222,[],0.0,0.0,0.0
Q93Z04,"[217, 241, 245, 297]","[217, 241, 245, 297]",1.0,1.0,1.0,"[219, 297]",0.5,0.25,0.3333333333333333,[],0.0,0.0,0.0
Q9AAA6,"[115, 141]","[115, 141]",1.0,1.0,1.0,"[28, 116, 141]",0.3333333333333333,0.5,0.4,[],0.0,0.0,0.0
P71011,"[129, 133, 136, 408, 414, 417]","[129, 133, 136, 344, 362, 403, 408, 414, 417, 433]",0.6,1.0,0.7499999999999999,"[129, 133, 136, 344, 362]",0.6,0.5,0.5454545454545454,[],0.0,0.0,0.0
Q17426,[188],[188],1.0,1.0,1.0,[274],0.0,0.0,0.0,[188],1.0,1.0,1.0
P27035,"[286, 378]","[286, 378]",1.0,1.0,1.0,"[209, 285, 286, 351, 353, 378, 418]",0.2857142857142857,1.0,0.4444444444444445,"[286, 378]",1.0,1.0,1.0
P40601,"[34, 327, 330]","[34, 241, 330]",0.6666666666666666,0.6666666666666666,0.6666666666666666,"[34, 43, 124, 327, 330, 374]",0.5,1.0,0.6666666666666666,"[34, 330]",1.0,0.6666666666666666,0.8
Q8MYY6,"[150, 186, 209, 210, 211, 312, 340, 343, 346]","[150, 186, 209, 210, 211, 312, 340, 343, 348]",0.8888888888888888,0.8888888888888888,0.8888888888888888,"[315, 340, 343]",0.6666666666666666,0.2222222222222222,0.3333333333333333,[],0.0,0.0,0.0
Q8TZH9,"[68, 84, 86, 87, 171, 176, 195, 202]","[68, 69, 84, 86, 171, 202]",0.8333333333333334,0.625,0.7142857142857143,"[47, 84, 89]",0.3333333333333333,0.125,0.1818181818181818,[],0.0,0.0,0.0
Q55A00,"[136, 190, 194]","[136, 190]",1.0,0.6666666666666666,0.8,"[134, 136, 190, 194]",0.75,1.0,0.8571428571428571,[136],1.0,0.3333333333333333,0.5
Q02863,"[62, 407]","[62, 407]",1.0,1.0,1.0,"[62, 407]",1.0,1.0,1.0,"[62, 407]",1.0,1.0,1.0
P74297,"[65, 163]","[65, 163]",1.0,1.0,1.0,"[9, 65, 163, 165, 444]",0.4,1.0,0.5714285714285715,[163],1.0,0.5,0.6666666666666666
B6H6L7,"[57, 60, 170]","[57, 60, 170]",1.0,1.0,1.0,"[57, 60, 127, 170, 175, 344]",0.5,1.0,0.6666666666666666,"[57, 60, 170]",1.0,1.0,1.0
Q67SW0,"[14, 64, 125, 187, 193, 334, 401, 405, 442, 443, 461]","[14, 125, 401, 405, 426, 427, 442, 443, 461]",0.7777777777777778,0.6363636363636364,0.7000000000000001,"[64, 155, 156, 259, 261, 334, 405, 461]",0.5,0.3636363636363636,0.4210526315789474,[64],1.0,0.0909090909090909,0.1666666666666666
