Protein_ID,Sequence_Length,DualEvo_Distances,DualEvo_Mean_Distance,SCREEN_Distances,SCREEN_Mean_Distance,Squidly_Distances,Squidly_Mean_Distance
I1RPI4,528,[],528.0,"[154, 60]",107.0,[0],0.0
P17989,349,"[0, 0, 81]",27.0,[0],0.0,"[0, 0]",0.0
P34100,714,"[0, 0]",0.0,"[9, 0, 2, 4, 5, 37]",9.5,[0],0.0
A0Q5Y4,318,"[0, 0, 0]",0.0,"[0, 3]",1.5,[],318.0
O60156,284,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
Q0PKV7,525,"[0, 0]",0.0,"[0, 39]",19.5,[0],0.0
Q9P6N2,229,"[0, 0, 7, 44, 23, 0, 3, 4]",10.125,"[0, 0, 23, 1, 4]",5.6,"[0, 0]",0.0
P49332,221,"[0, 2, 0, 0]",0.5,"[0, 5, 13, 50, 97]",33.0,[],221.0
Q93ZC9,362,"[0, 45, 11, 0]",14.0,"[9, 0, 49]",19.333333333333332,[0],0.0
Q8KLM3,270,"[0, 8]",4.0,[55],55.0,[0],0.0
O14040,927,"[0, 0, 0]",0.0,"[2, 300, 308]",203.33333333333334,[],927.0
Q83F94,185,"[0, 0, 0]",0.0,[0],0.0,[],185.0
F1DBB3,398,"[0, 0]",0.0,[0],0.0,[0],0.0
Q8Q054,966,"[556, 0]",278.0,"[584, 3, 0]",195.66666666666666,[],966.0
P78581,588,"[0, 0, 0]",0.0,"[0, 0, 0, 1]",0.25,"[0, 0]",0.0
P74181,518,[],518.0,"[243, 84, 18, 40, 42]",85.4,[],518.0
Q8P3J4,798,"[0, 150]",75.0,"[373, 132, 119, 150, 151, 157]",180.33333333333334,[],798.0
Q08961,583,[0],0.0,[0],0.0,[],583.0
Q9KG32,265,"[0, 25]",12.5,"[27, 25, 102, 147, 157, 158, 161, 185]",120.25,[25],25.0
F4JYG0,760,"[0, 0, 0, 0]",0.0,[],760.0,[],760.0
D0E8I5,190,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 25, 0]",3.125,[],190.0
Q4WZB3,406,"[69, 0, 44, 0, 0]",22.6,"[70, 0, 1, 0, 0]",14.2,"[0, 0]",0.0
Q9FJT9,956,"[0, 0, 0]",0.0,"[0, 0, 578, 595]",293.25,"[0, 0]",0.0
Q70KF0,340,"[0, 0, 1, 0, 0, 0, 0, 0]",0.125,"[2, 0, 0]",0.6666666666666666,[],340.0
Q0PBX7,247,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[2, 0, 0, 0, 28, 53, 83, 142, 144]",50.22222222222222,[],247.0
S0E627,393,"[0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0]",1.4666666666666666,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",0.1111111111111111,[],393.0
O43980,309,"[0, 25]",12.5,"[1, 0, 25, 0, 99, 100]",37.5,"[0, 0, 99]",33.0
Q02742,428,[0],0.0,"[74, 66, 0]",46.666666666666664,[0],0.0
Q5QKR8,334,"[2, 0, 0, 0, 57]",11.8,"[0, 0, 0, 3, 0]",0.6,[0],0.0
P46116,281,"[0, 0]",0.0,"[72, 67, 63, 2, 0, 5, 0]",29.857142857142858,"[2, 0, 0]",0.6666666666666666
P54637,990,"[0, 6]",3.0,"[100, 37, 0, 6, 7]",30.0,[0],0.0
E7FHF1,114,"[0, 4, 0, 0, 36, 76]",19.333333333333332,"[0, 36, 76]",37.333333333333336,[76],76.0
P40376,512,"[0, 0]",0.0,"[0, 2, 5, 36]",10.75,[0],0.0
P32945,549,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 3, 4, 0, 0, 0, 35, 27, 0]",6.2727272727272725,"[0, 0]",0.0
P46489,453,"[50, 0, 0, 0, 0, 0, 0]",7.142857142857143,"[3, 0]",1.5,[0],0.0
Q9VWU1,394,"[0, 0, 0]",0.0,"[0, 0, 2, 0]",0.5,"[0, 0, 0]",0.0
B0WSX1,760,"[268, 224, 111, 0, 42, 312]",159.5,"[268, 192, 166, 0, 26, 100, 311]",151.85714285714286,[169],169.0
D4GU60,405,"[0, 27, 63, 0, 0, 16]",17.666666666666668,"[0, 63, 0, 0, 2, 16]",13.5,[],405.0
Q8SQZ6,579,"[90, 101, 108]",99.66666666666667,"[141, 77, 21, 19, 8, 72, 108, 111, 5, 0]",56.2,[],579.0
O53423,314,"[74, 0, 0, 0, 0, 0]",12.333333333333334,"[0, 0, 0, 0]",0.0,"[0, 0]",0.0
Q9RDE9,431,"[4, 3, 0, 0, 0, 2, 23, 0, 1, 24, 0]",5.181818181818182,"[0, 0, 0, 23, 0, 1, 24, 0, 2]",5.555555555555555,"[0, 0]",0.0
Q2G0P6,335,[42],42.0,"[4, 51, 82]",45.666666666666664,[],335.0
G0L322,539,"[0, 0, 149]",49.666666666666664,"[0, 2, 1, 0]",0.75,"[0, 0]",0.0
E9QBI7,478,"[0, 0, 0, 0, 4, 47]",8.5,"[0, 0, 0, 5, 0, 4, 47]",8.0,"[0, 47]",23.5
Q4QEY9,686,"[0, 38, 0]",12.666666666666666,[92],92.0,[],686.0
P0DTF7,300,"[0, 0, 0]",0.0,[0],0.0,[0],0.0
Q6S5G3,793,[],793.0,[445],445.0,[],793.0
O61125,461,"[0, 0]",0.0,"[2, 0, 2, 5]",2.25,[0],0.0
A8GG78,444,[0],0.0,"[0, 0]",0.0,"[0, 0]",0.0
O27089,353,"[0, 0, 0]",0.0,"[0, 2]",1.0,[],353.0
Q4JB16,235,[],235.0,"[90, 2]",46.0,[],235.0
Q9Y898,518,"[0, 0]",0.0,"[0, 0, 2, 39]",10.25,[0],0.0
P11439,638,[9],9.0,"[183, 21, 32, 25, 0]",52.2,[],638.0
P35484,336,"[9, 4, 0, 0, 1]",2.8,"[9, 4, 1, 0]",3.5,[],336.0
Q9VWP4,573,"[0, 0, 0]",0.0,"[0, 0, 45, 0, 34]",15.8,[],573.0
E7FHN9,334,"[137, 94, 0, 0, 0, 0, 3, 5, 27, 12, 0, 0, 0, 0]",19.857142857142858,"[137, 15, 11]",54.333333333333336,[],334.0
Q06702,301,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 3, 24, 27, 0]",7.714285714285714,"[0, 0]",0.0
Q4P804,406,"[64, 0, 0, 3, 0]",13.4,"[64, 0, 0, 0]",16.0,[],406.0
Q09363,356,"[0, 29]",14.5,[0],0.0,[],356.0
O87876,438,"[290, 0, 0, 55, 83]",85.6,"[46, 0, 0]",15.333333333333334,[],438.0
O16129,453,"[0, 0]",0.0,"[95, 8, 11, 0, 143]",51.4,[],453.0
Q54EM5,566,[0],0.0,"[213, 0]",106.5,[],566.0
Q04195,904,"[0, 0, 0, 0]",0.0,[0],0.0,[],904.0
Q12043,749,"[0, 0, 51]",17.0,[0],0.0,[],749.0
B2A6B7,452,[0],0.0,"[149, 113, 91, 93]",111.5,[],452.0
P32747,443,"[4, 1, 0, 0, 0, 24, 0]",4.142857142857143,"[88, 25, 29, 0, 2, 0, 23]",23.857142857142858,[0],0.0
Q03533,586,"[0, 0]",0.0,"[0, 2, 4, 61]",16.75,[0],0.0
P46843,458,"[1, 28, 34, 21, 18, 0, 87, 90]",34.875,"[5, 21, 18, 87, 90]",44.2,"[87, 90]",88.5
Q8EN08,262,[0],0.0,[0],0.0,[0],0.0
O81755,404,"[0, 0, 0, 0, 31, 34, 42]",15.285714285714286,"[0, 0, 0, 59]",14.75,[0],0.0
Q59QL0,514,[0],0.0,[77],77.0,[0],0.0
P86074,35,[],35.0,[],35.0,[],35.0
Q23498,618,"[0, 0, 0, 4, 0, 1, 0, 0, 0]",0.5555555555555556,"[0, 0, 0, 1, 0, 0, 0]",0.14285714285714285,[1],1.0
K2RU68,203,[0],0.0,"[38, 37, 36, 0, 4]",23.0,[],203.0
Q9WYP4,311,"[0, 0, 0, 0, 1, 5, 0]",0.8571428571428571,"[0, 1, 5, 54]",15.0,[],311.0
Q9VM90,456,"[0, 0]",0.0,"[0, 2, 4, 41]",11.75,[0],0.0
P11018,319,"[0, 0, 0]",0.0,"[0, 1, 0, 67, 0]",13.6,"[0, 0, 0]",0.0
Q9YFY8,409,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 1, 0, 0]",0.16666666666666666,"[0, 0]",0.0
Q72E85,255,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,[0],0.0,[],255.0
Q6DNF3,708,"[0, 0]",0.0,"[99, 0]",49.5,[],708.0
I6Y2J4,437,"[0, 0]",0.0,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
M2ZIX7,309,"[13, 0, 4]",5.666666666666667,"[13, 12, 0, 4]",7.25,[0],0.0
P32823,820,"[2, 0, 255, 306]",140.75,"[4, 2, 0, 76, 146]",45.6,[0],0.0
Q621J7,709,"[0, 0]",0.0,[0],0.0,[0],0.0
P22806,389,"[0, 0, 25, 28, 9]",12.4,"[26, 4, 0, 25, 28, 59, 3]",20.714285714285715,[59],59.0
B2UP57,493,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 17, 30]",7.833333333333333,"[0, 0, 0]",0.0
Q7VQW8,357,"[0, 0, 39, 0, 0, 0, 0, 1, 2, 0, 48, 74, 100, 101, 104, 126, 147, 171, 194, 195, 198]",71.42857142857143,"[0, 0, 2, 0, 4, 100, 101, 105, 195, 198]",70.5,"[0, 0]",0.0
Q21376,709,"[0, 0, 0, 91, 0]",18.2,"[0, 0, 4, 55, 91, 0, 13]",23.285714285714285,[0],0.0
O07566,441,"[26, 3, 0, 0]",7.25,"[0, 3, 0, 0, 2, 5]",1.6666666666666667,[],441.0
Q54VC0,418,"[0, 0]",0.0,[0],0.0,[0],0.0
Q5BD29,555,"[0, 0]",0.0,"[0, 58]",29.0,"[0, 0]",0.0
Q9X1G3,565,[31],31.0,"[217, 118, 62, 24, 0, 4, 0, 31]",57.0,[],565.0
Q6DRD3,336,"[0, 0]",0.0,[],336.0,[],336.0
P76190,271,"[0, 0]",0.0,"[0, 1, 0]",0.3333333333333333,"[0, 0]",0.0
A1A6H3,379,"[130, 0, 0, 0, 0]",26.0,"[0, 22, 1, 2, 1, 0]",4.333333333333333,[0],0.0
B0TFA7,385,"[0, 0]",0.0,"[20, 3, 16, 28]",16.75,[0],0.0
Q9ZHY3,362,[0],0.0,"[0, 0]",0.0,[],362.0
A0A3G5BB24,163,[],163.0,"[14, 0]",7.0,[],163.0
Q0V9R3,834,"[0, 0]",0.0,"[2, 102, 218, 312, 316]",190.0,[],834.0
P39671,542,"[0, 0, 0, 0, 13, 12]",4.166666666666667,"[0, 2, 0, 1, 0, 28, 0, 0, 1, 3, 1]",3.272727272727273,[0],0.0
Q9X0L3,217,"[0, 0, 0, 21, 0]",4.2,"[3, 0]",1.5,[0],0.0
P36163,345,"[31, 0, 0, 0, 49]",16.0,"[0, 0, 0, 5, 0, 4, 49]",8.285714285714286,"[0, 49]",24.5
Q60314,378,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,[],378.0
Q4U3Y2,549,"[32, 135, 195]",120.66666666666667,[81],81.0,[],549.0
A3CTK0,187,"[84, 17]",50.5,"[4, 0, 0]",1.3333333333333333,[0],0.0
Q5QHG6,495,"[0, 0, 0, 0, 0, 42, 0, 0]",5.25,"[0, 2, 0, 0, 0, 0, 44, 42, 0, 0, 4]",8.363636363636363,[0],0.0
Q54IP4,653,"[186, 0, 0]",62.0,"[2, 0, 39]",13.666666666666666,[0],0.0
Q57688,417,[0],0.0,"[21, 269]",145.0,[],417.0
Q9R5V5,157,"[26, 0]",13.0,"[91, 26, 6, 0]",30.75,[],157.0
Q04049,632,"[0, 0]",0.0,"[117, 124]",120.5,[],632.0
Q9I4U2,847,"[0, 22, 72]",31.333333333333332,"[1, 20]",10.5,[0],0.0
Q9S713,562,"[0, 0]",0.0,"[0, 0, 2, 40]",10.5,[0],0.0
Q2UPC5,306,[0],0.0,"[206, 117, 112, 0, 9]",88.8,[],306.0
Q22036,648,"[0, 0]",0.0,"[6, 0, 0, 0, 2]",1.6,"[0, 0, 0]",0.0
O80831,691,[0],0.0,"[0, 3]",1.5,[0],0.0
Q8PU60,177,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,[0],0.0,[],177.0
P72173,398,"[0, 31, 0, 0, 31, 71, 0]",19.0,"[0, 28, 30, 63, 71]",38.4,[],398.0
Q93Z04,501,"[0, 0, 0, 0]",0.0,"[2, 0]",1.0,[],501.0
Q75SP7,274,"[0, 0, 0]",0.0,"[16, 0, 7, 0, 24, 26]",12.166666666666666,"[0, 0, 0]",0.0
Q9XG80,138,[3],3.0,"[0, 0, 0, 0, 14]",2.8,[0],0.0
B5GRC8,343,"[0, 1, 0, 0, 0, 0, 0]",0.14285714285714285,"[3, 0, 1, 4, 5, 0, 74, 79, 81]",27.444444444444443,[],343.0
Q9AAA6,168,"[0, 0]",0.0,"[87, 1, 0]",29.333333333333332,[],168.0
P71011,448,"[0, 0, 0, 64, 46, 5, 0, 0, 0, 16]",13.1,"[0, 0, 0, 64, 46]",22.0,[],448.0
Q17426,577,[0],0.0,[86],86.0,[0],0.0
F0X8C8,408,"[0, 0, 1, 0]",0.25,"[0, 2, 0, 1, 0, 0, 0, 4]",0.875,[1],1.0
